lat,lon,mag
36.2785,-97.2649,3.1
36.2807,-97.2662,2.9
36.2748,-97.2657,2.5
36.9269,-97.6699,2.7
37.162,-104.9149,2.7
36.2788,-97.2812,3.0
36.2743,-97.2747,2.7
32.8552,-96.9412,2.2
32.8363,-96.9467,2.1
36.8424,-98.2226,2.4
35.8909,-97.2773,2.5
35.9057,-97.2735,2.7
35.6704,-89.6827,3.4
36.0427,-97.1205,3.3
36.121,-97.3076,2.5
36.8529,-97.3792,2.6
36.6779,-97.6969,2.7
36.0274,-97.1309,3.0
65.571,-37.742,1.0
36.9275,-97.6723,2.4
46.0328,-71.3838,2.2
50.1774,-66.3973,2.2
35.8396,-97.4218,2.9
43.7058,-64.861,2.2
44.4602,-105.3322,2.8
36.0421,-97.1455,2.3
37.9063,-77.9457,1.4
32.9649,-80.1658,2.1
62.6561,-76.1494,3.4
36.2715,-97.5126,2.9
36.9307,-97.6775,2.7
43.8074,-105.2814,3.4
49.062,-67.7916,2.5
36.2725,-97.5245,2.7
36.0377,-97.141,2.6
36.0536,-97.1474,3.3
36.5879,-97.7016,3.0
48.5581,-59.0722,2.3
36.2781,-97.5181,3.1
36.9212,-97.671,2.5
31.3226,-103.1368,2.7
36.7589,-98.5251,3.2
60.384,-44.063,2.2
64.782,-37.799,1.9
69.207,-31.365,1.9
36.8126,-97.8056,4.2
47.2435,-66.2904,3.0
43.8405,-105.3125,3.2
48.092,-78.1761,2.1
36.2912,-96.8946,2.1
67.021,-57.097,2.1
65.638,-37.565,1.1
76.6466,-92.936,2.4
36.9663,-97.5108,2.7
46.673,-81.335,2.5
36.7242,-98.1431,2.7
44.0929,-105.362,3.4
36.2991,-97.5239,2.4
47.6342,-92.7074,2.5
31.0414,-103.1354,2.6
44.7388,-63.562,2.2
36.6572,-97.7285,2.3
49.0382,-57.8525,2.5
36.7276,-98.0461,2.3
36.3025,-97.5582,3.3
37.1612,-104.9279,4.0
38.0284,-84.8192,2.1
36.8207,-98.1903,3.5
36.8286,-98.2647,3.8
36.5185,-98.4149,3.2
36.8175,-97.8038,2.8
36.911,-97.6942,2.6
43.7968,-105.2378,3.4
48.6868,-85.9776,2.0
43.7768,-105.33,3.4
36.8137,-97.7994,2.2
36.0731,-97.2115,2.3
72.805,-58.627,2.3
41.7647,-100.2333,3.6
76.288,-40.278,1.6
36.4972,-98.5074,2.5
36.6871,-98.0163,2.2
36.0783,-97.2086,2.2
46.1502,-75.2037,2.0
36.7116,-98.6265,2.6
35.6974,-97.4792,2.5
71.9424,-74.8488,3.3
36.2873,-97.5166,2.6
36.2793,-97.5362,2.7
36.2929,-97.5156,3.2
36.9044,-104.8848,2.7
45.9145,-74.8228,3.1
53.4791,-83.5542,2.8
43.3765,-71.0299,1.7
32.5431,-90.1146,2.6
65.601,-37.63,1.3
50.3409,-66.4151,2.1
36.4197,-97.0419,2.7
64.612,-38.687,2.3
35.3314,-96.6678,3.1
36.899,-97.6611,2.9
52.7353,-76.1008,2.3
65.821,-37.376,1.0
65.811,-37.38,1.3
36.9192,-97.6781,2.8
36.825,-97.8214,3.3
65.479,-39.529,1.1
36.9175,-97.6846,2.4
45.1579,-69.0972,1.1
36.8186,-97.8078,2.5
43.7485,-105.3697,3.2
36.8185,-97.8041,3.0
43.5428,-105.362,3.4
45.6296,-75.3274,2.2
35.6875,-97.4099,2.5
36.001,-97.567,2.8
36.4784,-98.8753,3.1
36.7986,-97.8093,2.9
36.8221,-97.7982,4.1
36.8066,-97.7122,2.5
36.151,-97.5035,2.4
66.613,-53.256,1.1
46.1263,-70.7364,1.8
35.705,-97.4948,2.3
40.7498,-74.5801,2.4
65.544,-39.595,1.0
36.3973,-98.1198,2.3
39.8713,-76.4165,1.3
75.8679,-85.84,2.2
44.4445,-73.1599,1.5
50.1573,-64.4206,2.2
36.0778,-97.1946,3.5
35.6958,-97.4785,2.4
36.8218,-97.8651,3.2
35.767,-97.405,2.6
35.756,-97.3894,2.4
35.7598,-97.458,3.2
47.3113,-70.4035,2.4
62.4234,-66.2135,2.6
36.2729,-97.5343,2.4
36.2874,-97.4979,3.4
45.1529,-106.8944,3.0
53.2551,-81.228,2.6
36.7989,-97.6188,2.7
49.5696,-68.7199,2.3
36.2786,-97.6655,2.5
31.0455,-103.1619,3.0
43.7863,-105.252,3.3
62.7706,-72.3758,2.7
36.4678,-98.9499,2.8
36.2864,-97.5104,2.7
36.7103,-97.6276,2.5
